glytoucan_ac	term	synonyms	term_in_sentence	publication	definition	term_xref	function	disease_associations	wikipedia	essentials_of_glycobiology	xref_key	xref_id
G82109MW	Keratan sulfate	keratan|Kerato sulphate|Kerato sulfate|Keratan sulphate|kerato 6'-sulfate|keratan 6'-sulfate|Kerato 6'-sulphate|Keratan 6'-sulphate	"Compared to the other classes of glycosaminoglycans (GAGs), that is, chondroitin/dermatan sulfate, heparin/heparan sulfate and hyaluronan, keratan sulfate (KS), have the least known of its interactive properties.[PMID: 30578672]"	29340594|30578672|12512857|29625490|25325967|30025865|29924315|9549787|11030741|28078490|8298243|29096187|30059256|26958998|26773479|22840010|15597951|28110685|28535934|2942429|18234072|8641829|8940154|2027120|30849116|41589|6238957|1907283|7722002|29275050|24274541|2527236|1731862|8991509|24291704|10517185|6451953|7688312|8663590|139406|25770829|25036480|9275006|25179279|32627425|26903438|27941632|12807022|32266652|21624346	"A sulfated glycosaminoglycan, a linear polymer that consists of the repeating disaccharide [3)-β-Gal-(1→4)-β-GlcNAc-(1→] and containing sulfo groups located at random positions.[CHEBI:60924]"	CHEBI:60924|CID:446715|GlycoEpitope: EP0085|GTC: G82109MW	Tissue hydration.[PMID: 11030741]				glycan_xref_dictionary	GSD000114
G31736BK	LacdiNac	LDN|GalNAc_1-4GlcNAc	We previously showed that the expression level of the LacdiNAc group in N-glycans decreases dramatically during the progression of human breast cancer.[PMID:25003135]	25003135|31711843|31145522|27601469|30669833|25210040|24633693|24755437|22653491|30898876|7758724|22474328|21305673|31558607|31271862|28549117|26213980|9134425|25561735|31756927|31170332|16282603|15265923|32267274|23015818|32676595|16728562|10814702|9591048|22245701|29751628|22997242|15535969|31911241|30622255|29888905|30236114|30298790|29373511|22298779|19179461|31606752|15653684|16403022|11162373|32005658|30529570	An amino disaccharide consisting of N-acetylglucosamine having an N-acetylgalactosaminyl resiude attached at the 4-position via a β-linkage.[CHEBI:61190]	GTC:G31736BK|GlycoEpitope:P0150|CID:25257164|CHEBI:61190|GlycoMotif:GGM.000016	Has a role of epitope.[CHEBI:61190]				glycan_xref_dictionary	GSD000115
G84224TW	Lactosylceramide	LacCer|Lc2|CDH	"In the 1970s, a neutral glycosphingolipid lactosylceramide (LacCer) was found to bind specifically to several kinds of microorganisms.[PMID:30175814]"	30175814|26900161|30502090|29624959|28444900|25408340|31801289|29099167|25595946|32592089|27729551|24658420|25216636|25638276|9499377|17986153|8143857|23801329|18077097|32708181|15346887|19015977|18393821|25279740|21057870|11915327|25212460|23882130|11915329|8195125|8808768|3396945|22128256|6733104|24968752|32518749|30688114|7666005|8200356|24718572|6193809|25781947|12383912|26086247|30606995|12419803	"Glycosphingolipids which contain as their polar head group a lactose moiety bound in glycosidic linkage to the hydroxyl group of ceramide. Their accumulation in tissue, due to a defect in lactosylceramide beta-galactosidase, is the cause of lactosylceramidosis.[MeSH:D007790]"	GTC:G84224TW|MeSH:D007790|GlycoMotif:GGM.000064|GlycoEpitope:EP0078|SugarBind_Ligand:3	mammalian cell receptors for Neisseria gonorrhoeae recognized by Helicobacter pylori[GlycoEpitope:EP0078]	"chronic gastritis[GlycoEpitope:EP0078,SugarBind_Ligand:3]|duodenal ulcers[GlycoEpitope:EP0078]|gastric adenocarcinoma[GlycoEpitope:EP0078,SugarBind_Ligand:3]|gastric ulcers[GlycoEpitope:EP0078]|Pleuropneumonia[SugarBind_Ligand:3]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:3]|Actinomycosis[SugarBind_Ligand:3]|Pertussis[SugarBind_Ligand:3]|Candidiasis[SugarBind_Ligand:3]|Cryptococcosis[SugarBind_Ligand:3]|Hemorrhagic colitis[SugarBind_Ligand:3]|Peptic ulcers[SugarBind_Ligand:3]|Histoplasmosis[SugarBind_Ligand:3]|Pharyngitis[SugarBind_Ligand:3]|Tracheobronchitis[SugarBind_Ligand:3]|Gonorrhea[SugarBind_Ligand:3]|Sporotrichosis[SugarBind_Ligand:3]|Plague[SugarBind_Ligand:3]|Diarrhea[SugarBind_Ligand:3]"		Chapter 17	glycan_xref_dictionary	GSD000116
G06239NA	Lactotriaosylceramide	Lc3|Lc(3)Cer|Lc_3	"The results showed that AML patients had higher expression of the GSL lactotriaosylceramide (Lc3), GM3 and neolactotetraosylceramide (nLc4) in their bone marrow than did the healthy donors (P &lt; 0.05), especially the M1 subtype of AML.[PMID:22411838]"	22411838|20693232|26104834|27435676|26405105|32340400|25241919|23404501|32452379|2960671|272643|27711049|33202844|4060695|27638607|20547865|2277039|6238026|8448388|8489255|9363437|11836161|6892925|1551117|6811267|8059935|7861954|11283017|8514762|1291049|3805024|10816509|12393713|6417117|11054095|8781973|1692829	A linear amino trisaccharide consisting of β-D-glucose at the reducing end having an N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl group attached at the 4-position.[CHEBI:61758]	GTC:G06239NA|GlycoMotif:GGM.000067|MeSH:C025575|CID:10230777|CHEBI:61758|SugarBind_Ligand:20	"acute myeloid leukemia-associated glycosphingolipids lactotriaosylceramide, GM3 and neolactotetraosylceramide are possibly involved in initiation and differentiation of acute myeloid leukemia.[PMID:22411838]"	Pharyngitis[SugarBind_Ligand:20]|Tracheobronchitis[SugarBind_Ligand:20]|Gonorrhea[SugarBind_Ligand:20]|Actinomycosis[SugarBind_Ligand:20]|Diarrhea[SugarBind_Ligand:20]		Chapter 14	glycan_xref_dictionary	GSD000117
G62554JH	LcGg4		"Murine leukemia cells (M1), in their undifferentiated state, have been characterized by the presence of cancer-associated lactoganglio-series glycolipids, one of which was identified as lactogangliotetraosylceramide (LcGg4) having a novel branching at the II-Gal of lactosylceramide through GlcNAc beta 1----3 and GalNAc beta 1----4 linkage, as shown below (Kannagi, R., Levery, S.B., and Hakomori, S. (1984) J. Biol. Chem., 259, 8444-8451): GalNAc beta 1----4 Gal beta 1----4Glc beta 1----1Cer GlcNac beta 1----3 [PMID: 3805024]"	3805024|33395290	"N-[(2S,3R,4R,5R,6R)-2-[(2R,3S,4R,5R,6S)-4-[(2S,3R,4R,5S,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide is an oligosaccharide.[CHEBI:152521]"	GlycoMotif:GGM.000075|GTC:G62554JH|CID:91850076|CHEBI:152521|GlycoEpitope:EP0035				Chapter 14	glycan_xref_dictionary	GSD000118
G00047MO	Lewis a	Le(a)|Lea-3|Lea|Le^a|Lewis(a)	"Regardless of the vaccine administered, significantly fewer of the children with Lewis A phenotype (0/14) seroconverted after receiving the first vaccine dose compared to 26% (45/175) of those with the Lewis B phenotype and 32% (15/47) of the Lewis negative individuals (P &lt; 0.01). [PMID:29367698]"	29367698|27187324|30562693|27646625|26911286|30225822|28600306|32527016|2385097|11064310|23809433|30050155|1615929|29527514|9207264|1675497|3677023|27705835|7593252|2579997|17630273|9350993|9098001	A lewis blood group antigen with structure beta-D-Galp-(1-&gt;3)-[alpha-L-Fucp-(1-&gt;4)]-D-GlcpNAc consisting of N-acetylglucosamine having a fucosyl residue attached at the 4-position via an alpha-linkage and a galactosyl residue attached at the 3-position via a beta-linkage. It has a role as an epitope and an antigen. It is an amino trisaccharide and a glucosamine oligosaccharide.[CHEBI:62265]	GTC:G00047MO|CID:22806751|CHEBI:62265|GlycoMotif:GGM.000020|SugarBind_Ligand:155		Gastroenteritis[SugarBind_Ligand:155]	https://www.wikidata.org/wiki/Q50687009		glycan_xref_dictionary	GSD000119
G39211DH	Lewis b	Le(b)|Lewis(b)|Le^b|Lewis(b)	Human mannose-binding lectin preferentially binds to human colon adenocarcinoma cell lines expressing high amount of Lewis A and Lewis B antigens.[PMID:10328552]	10328552|23408949|31927399|26601230|28279343|32527016|30831115|27318698|9207264|23828675|29527514|1615929|2385097|2579997|25516619|3677023|8509439|19832116|15270746|3166398|30909206|7718581|18400963|29751628|8982241|30284922|24576035|30974776|9098001|31768613|1651804|25428879|15946883|30298790|30544260|29197783|8632739|7679772|18666312|20231766|29922666|95124|2247887|21519121|25153235|28751211		GlycoMotif:GGM.000021|SugarBind_Ligand:146|GTC:G39211DH|CID:45480568|CHEBI:59440	possible receptor for Helicobacter pylori[https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/blood-group-lewis-system]	Gastroenteritis[SugarBind_Ligand:146]			glycan_xref_dictionary	GSD000120
G00051MO	Lewis x	Lex|Galbeta1-4(Fucalpha1-3)GlcNAc|Lewis x trisaccharide|Le(X)|Le^x|SSEA-1|LewisX|Lewis(X)|Lewis x antigen|Lewis X (LeX)	"In particular, the observation of oxonium ions at m/z 512.2 and 803.2 is useful for probing outer non-reducing terminal fucosylation, which represented carbohydrate structures consisting of Hex Hex , dHex Hex , and HexNAc , and NeuNAc , Hex Hex , dHex Hex , and HexNAc , respectively, from which the Lewis X structure (Galbeta1-4(Fucalpha1-3)GlcNAc) was readily deduced.[PMID:15536627]"	15536627|31666308|29019053|28296340|29593094|17607374|16581086|20858014|19962782|7912739|25121780|24059473|29210428|31276881|9015359|7628844|7499837|16850248|28425129|28869691|19576189|10223649|22593503|15632313|27198630|26582608|11500392|31256373|23399157|21984435|26244810|26162743|17335083|15388363|9556613|10760152|11267844|20876654|12131290	A Lewis blood group antigen with structure α-L-Fucp-(1→3)-[β-D-Galp-(1→4)]-D-GlcpNAc where the glucosamine at the reducing end has β-configuration at its anomeric centre. Commonly known as Lewis x trisaccharide or Lex.[CHEBI:59294]	GTC:G00051MO |GlycoEpitope:EP0011|CID:44611539|CHEBI:59294|GlycoMotif:GGM.000018	Involved in carbohydrate-carbohydrate interaction[Glycoepitope:EP0011].|Also implicated in apoptosis.[Glycoepitope:EP0011]|influence antigenic presentation and interfere with pathogen transfer in breastfed infants.[Glycoepitope:EP0011]	acute leukemia[GlycoEpitope:EP0011]|lymphoma[GlycoEpitope:EP0011]		Chapter 14	glycan_xref_dictionary	GSD000121
G00052MO	Lewis y	LeY|Le(y)|Ley|Le^y|Lewis(y)	"In conclusion, Lewis y antigen and CD147 were significantly upregulated in ovarian tumors, and the altered expression of Lewis y may cause changes in CD147.[PMID:30816446]"	30816446|20003467|24692145|24998328|25726913|29299130|30816446|20003467|24692145|24998328|20127027|22138668|23894390|25726913|25416440|27646625|23725446|21294926|22312289|25973320|23242548|30328452|21119363|29130097|23443083|23708102|28671040|19715603|23468946|27723168|21747684|19771739	"A Lewis blood group antigen which is a branched amino tetrasaccharide with structure alpha-L-Fucp-(1-&gt;2)-beta-D-Galp-(1-&gt;4)-[alpha-L-Fucp-(1-&gt;3)]-beta-D-GlcpNAc, consisting of consisting of N-acetyl-beta-D-glucosamine at the reducing end having an alpha-L-fucosyl residue attached at the 3-position and an alpha-L-fucosyl-(1→2)-beta-D-galactosyl moiety attached at the 4-position. A cancer-associated tetrasaccharide antigen which constitutes the core structure recognised by therapeutic antibody BR96. Conformational restriction around the GlcNAc residue is a key feature of its structure. It has a role as an antigen and an epitope. [CHEBI:59045]]"	GTC:G00052MO|GlycoEpitope:EP0018|CID:45266908|CHEBI:59045|GlycoMotif:GGM.000019	The expression of the fucosylated histo-blood group antigen CD174 in CD34+ hematopoietic progenitor cells and down-regulation of FUT1 in mature lymphocytes may be important factors influencing the homing process of hematopoietic stem cells to the bone marrow.[GlycoEpitope:EP0018]	AIDS/acquired immune deficiency syndrome[GlycoEpitope:EP0018]|cholangiocarcinoma[GlycoEpitope:EP0018]|hepatocellular carcinoma[GlycoEpitope:EP0018]		Chapter 14	glycan_xref_dictionary	GSD000122
G32254QI	Monosialyl-Gb5	GL-7 globoseries ganglioside (SSEA-4)|Monosialyl Gb5|Sialosyl galactosyl globoside|GL-7 globoseries ganglioside|SSEA-4	"Thus, malignancy of MCF-7 is highly dependent on monosialyl-Gb5, and its activation of cSrc and FAK in GEM.[PMID:12401210]"	12401210|16995838|27318475	"alpha-Neup5Ac-(2-&gt;3)-beta-D-Galp-(1-&gt;3)-beta-D-GalpNAc-(1-&gt;3)-alpha-D-Galp-(1-&gt;4)-beta-D-Galp-(1-&gt;4)-beta-D-Glcp is a linear amino hexasaccharide comprising β-D-glucose at the reducing end with at the 4-position a β-D-galactosyl-(1→3)-N-acetyl-β-D-glucosaminyl-(1→3)-α-D-galactosyl-(1→4)-β-D-galactosyl moiety, α(2→3)-sialylated at the terminal galactosyl residue.[CHEBI:62313]"	GTC:G32254QI|GlycoEpitope:EP0099|GlycoMotif:GGM.000080|CID:73427363|CHEBI:62313		renal cell carcinoma/RCC[GlycoEpitope:EP0099]			glycan_xref_dictionary	GSD000125
G80193TN	Mono-sulfated globopentaosylceramide	Monosulfated globopentaosylceramide	Mono-sulfated globopentaosylceramide from human kidney.[PMID:2777788]	2777788		GlycoMotif:GGM.000072|GTC:G80193TN					glycan_xref_dictionary	GSD000126
G05297EK	Mono-sulfated globotetraosylceramide		Mono-sulfated globotetraosylceramide from human kidney.[PMID:2559078]	2559078		GlycoMotif:GGM.000073|GTC:G05297EK					glycan_xref_dictionary	GSD000127
G79389NT	N-acetyl GM2		The appearance of the N-acetyl GM2 antigen correlated well with the degree of differentiation of the cancer cells in patients with squamous cell carcinoma and adenocarcinoma of the lung.[PMID:3167861]	3167861|2153431|25673107	beta-D-GalpNAc-(1-&gt;4)-[alpha-Neup5Ac-(2-&gt;3)]-beta-D-Galp-(1-&gt;4)-beta-D-Glcp is a branched amino tetrasaccharide consisting of the linear sequence β-D-GalNAc-(1→4)-β-D-Gal-(1→4)-β-D-Glc having a Neu5Ac residue attached to the galactose via an α-(2→3) linkage. Corresponds to the carbohydrate portion of ganglioside GM2.[CHEBI:59220]	GTC:G79389NT|GlycoEpitope:EP0051|CID:45266845|CHEBI:59220	The biological role played by a material entity when bound by a receptor of the adaptive immune system. Specific site on an antigen to which an antibody binds.[CHEBI:59220]	lung adenocarcinoma[GlycoEpitope:EP0051]|embryonal carcinoma[GlycoEpitope:EP0051]|germ cell tumor[GlycoEpitope:EP0051]|teratocarcinoma[GlycoEpitope:EP0051]|squamous cell carcinoma[GlycoEpitope:EP0051]			glycan_xref_dictionary	GSD000128
G00056MO	N-acetyllactosamine (Type 1)	LacNAc type 1|Type 1 LN|Type-1 lactosamine	"The N-acetyllactosamine type 1 (LacNAc type 1, Galβ1,3GlcNAc) is a well-known precursor of several important blood group epitopes, such as Lewis A, Lewis B, or sialyl Lewis A [1], which are involved in many biological processes, e.g., fertilization [2] and pathogen adhesion [3]. [PMID:28796164]"	28796164|28167527		GTC:G00056MO|GlycoMotif:GGM.000005					glycan_xref_dictionary	GSD000181
G00055MO	N-acetyllactosamine (Type 2)	LacNAc|Type 2 LN	"Utilising a fast and sensitive screening method based on imidazolium-tagged probes, we report unprecedented reversible activity of bacterial beta1,4-galactosyltransferases to catalyse the transgalactosylation from lactose to N-acetylglucosamine to form N-acetyllactosamine in the presence of UDP.[PMID:31165848]"	31165848|31126011|28796164|6236210|9751793|29740087|9151975|10567443|21472942|26477523|6548353|28167527|20056550|7737204|22052010|10223649|11323440|10420596|7766648|25257940|17977857|15556936|26541999|23650594|9692202|29429899|21062783|25034434|8985145|28503789|8720464/	"N-acetyllactosamine is a beta-D-galactopyranosyl-(1→4)-N-acetyl-D-glucosamine having beta-configuration at the reducing end anomeric centre. It is also known as galb1-4glcnacb or lacnac, belongs to the class of organic compounds known as acylaminosugars. These are organic compounds containing a sugar linked to a chain through N-acyl group. N-Acetyllactosamine is an extremely weak basic (essentially neutral) compound (based on its pKa). N-Acetyllactosamine exists in all living organisms, ranging from bacteria to humans.[CHEBI:16153,HMDB0001542]"	GTC:G00055MO|CID:439271|CHEBI:16153|MeSH:C000458|GlycoMotif:GGM.000001					glycan_xref_dictionary	GSD000129
G56478LD	N-Glycolyl-GM2		"The monoclonal antibodies MK2-34 and MK1-16 (both IgM), which specifically detect N-glycolyl GM2 and N-acetyl GM2, respectively, were generated by immunizing mice with liposomes containing monophosphoryl lipid A, trehalose dimycolate, and the antigenic ganglioside.[PMID:3167861]"	3167861|11861662|17980710|3731079|25673107	"(2S,4S,5R,6R)-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-5-[(2-hydroxyacetyl)amino]-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of carbohydrates and carbohydrate derivatives.[CHEBI:151464]"	GTC:G56478LD |GlycoEpitope:EP0052|CID:91845742|CHEBI:151464|GlycoEpitope:GGM.000096		choriocarcinoma[GlycoEpitope:EP0052]|teratocarcinoma|[GlycoEpitope:EP0052]yolk sac tumor[GlycoEpitope:EP0052]			glycan_xref_dictionary	GSD000130
G78059CC	N-linked glycans	N-glycans|N-linked carbohydrates|N-linked oligosaccharides	"Our study identifies extracellular N-linked glycans-and the glycoprotein neurexin 1β specifically-as key modulators of neuronal uptake of αSacetyl, drawing attention to the potential therapeutic value of αSacetyl-glycan interactions.[PMID:31211781]"	31211781|28384382|30305477|31364612|26899268|29945790|29652253|29723274|30962676|29778448|25325701|31100702|28898525|22944671|19277537|24473128|17957771|27554083|15189166|11269317|19577919|24303005|12042249|22191536|28324664|25965797|25434632|30484244|28110657|29865036|20129637|27346875|30280442|26911286|22491358|26582281|26398792|31548313|31066275|28331984|25482090|28518173|30733536|22326428|30063825|30315103|21558494|31676555|31256374	The carbohydrate portion of a glycoprotein that has a glycan linked through the nitrogen of an asparagine side-chain.[CHEBI:59520]	GTC:G78059CC|CID:70679232|CHEBI:70967	"N-glycans modulate the function of several cell surface proteins which involved in migration, adhesion and which are responsible for regulating myelination.[PMID: 25151374]|Affect transportation of the glycosylated proteins in the Golgi.[PMID: 25151374]|Affects cell-cell interaction, adhesion, expression, proper folding.[PMID: 25151374]|extracellular N-glycans act as key modulators of neuronal uptake of αacetyl [PMID: 31211781]."	Rheumatoid arthritis[PMID:17392038]|Type 1 Diabetes[PMID:29146600]|Lung Cancer[PMID: 23766031]		Chapter 14	glycan_xref_dictionary	GSD000131
G39294YF	O-fucose glycans		"Recently, a number of laboratories have shown that O-fucose glycans on the epidermal growth factor (EGF)-like repeats of the Notch extracellular domain modulate Notch signaling.[PMID:12417415]"	19594638|30690220|18952191|22415200|12417415|16400812|18948267|21464368|20816394|30207383|20301232|27129198|17132502|22492969|30030822|30214079|26175457|25378397|18272537|28729422|11524432|31722217|23045360|24803430|28876865|25700513|32518939|30523691|18227520|20816217|24909690|17964136|12036964|27268051|15653671|19948734|31590629|32201074|15189151|17263732|32913123|12909620|28785176|17132500|22949680|25053492|28939751	Form of glycosylation where the protein is modified by a fucose residue and can be extended futher to form a tetrasaccharide in certain cases. alpha-linked o-fucose have a consensus motif of C2X4(s/T)C3 where C2 and C3 are conserved cysteines number 2 and 3 respectively of the EGFR like repeats. [Essentials of Glycobiology:Chapter13]	GTC:G39294YF|GlycoEpitope:EP0005	modification of Notch signaling.[GlycoEpitope:EP0005]				glycan_xref_dictionary	GSD000137
G49108TO	O-GlcNAc	O-linked β-N-acetylglucosamine	A better understanding of the mechanisms of OGT/OGA action would enable us to derive therapeutic benefits of resetting cellular O-GlcNAc levels within an optimal range.[PMID:30464755]	30464755|29049853|29594839|31654859|29404877|30105004|30669087|29790000|28408483|26862193|30523150|30037904|28408480|29352075|29456783|29577901|29223644|28638491|30221662|29904918|32155042|30298013|31630803|31847126|29784830|30181664|28768194|30134155|25336654|30356792|30199580|32329777|28408494|29774032|29044951|23836420|20301273|29772801|28922739|30100348|30793403|30657688|31237748|29756380|29954943|30018219|32207184|25566193|30626734|24759912|	"Form of glycosylation which exclusively occurs in the mitochondrial, cytoplasmic or nuclear compartments of the cell where the protein is modified by a GlcNAc monosaccharide on the serine or threonine residues and is generally not modified or elongated further to form more complex structures. [Essentials of Glycobiology:Chapter19]"	GTC:G49108TO|GlycoEpitope:EP0004|CID:24139|HMDB:HMDB0000803					glycan_xref_dictionary	GSD000138									
G59126YU	O-linked mannose	O-mannosyl glycan	"Protein O-linked mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGNT2) catalyzes the first step toward the functional matriglycan structure on alpha-dystroglycan that is responsible for binding extracellular matrix proteins and certain arenaviruses.[PMID: 27932460]"	27932460|24526361|25381909|26644575|23851827|28810660|19054127|23929950|21684258|22608994|28973932|24733390|31851597|29884773|28711406|14577328|21089343|14617637|9838223|17072003|26328495|11181560|31949166|31988979|20362685|27733679|27493216|20044576|30643095|29732660|10580142|14568618|28079948|15467391|27812179|23761899|25737452|32930586|25381372|23434682|16857188|21452199|19429925|25361541|24297939|30322079|23428289|28427937|22746206|27533452|17502374|20816174|27496765	"O-linked glycans that are initiated by the addtion of a Man residue to Ser or Thr. Subsequent extension of the Man defines the O-Man core type, either M1, M2, or M3. The M1 type is initated by addition of a GlcNAc in β-linkage to the 2 position of the Man residue. M2 is initiated by addition of another GlcNAc to the 6 position of the M1 core. M3 is initiated by the addition of a GlcNAc in β-linkage to the 4 position of the Man residue. M1 and M2 type core glycans can be extended and branched with Gal, Fuc, Sialic Acid, and GlcA. The M3 core is uniquely extended by a multienzyme system to generate the matriglycan polysaccharide, a protein-specific modification found only on alpha-dystroglycan. [CHEBI:87761]"	GlycoMotif:GGM.000055|GTC:G59126YU|CHEBI:87761|GlycoEpitope:EP0002|CID:91859038		"MEB/muscle-eye-brain disease[GlycoEpitope:EP0002]|WWS/walker-warburg syndrome |muscular dystrophy[GlycoEpitope:EP0002]|neuronal migration disorder[GlycoEpitope:EP0002]|Muscle-Eye-Brain disease (MEB) and Walker-Warburg Syndrome (WWS) have mutations in genes encoding glycosyltransferases needed for O -mannosyl oligosaccharide synthesis[GlycoEpitope:EP0002]|Muscular dystrophy and neuronal migration disorder are caused by mutations in a glycosyltransferase, POMGnT1.[GlycoEpitope:EP0002]"			glycan_xref_dictionary	GSD000140
G12460DL	P1 antigen		"The P1 antigen was disovered in 1927 by Landsteiner and Levine, and Pk and NOR were described in 1951 and 1982, respectively.[PMID: 24046920]"	29622537|26773500|24046920|6207232|8550516|6609976|6375319|817855|2428855|3312011|15364312|1937801|7729906	"An amino pentasaccharide consisting of α-D-galactose, β-D-galactose N-acetyl-α-D-glucosamine, β-D-galactose, and β-D-glucose residues joined in sequence with ((1→4)-, (1→4)-, (1→3)- and (1→4)-linkages, respectively.[CHEBI:68484]"	GlycoMotif:GGM.000069|GTC:G12460DL|CID:71296137|CHEBI:68484|SugarBind_Ligand:160		Shigellosis[SugarBind_Ligand:160]		Chapter 23	glycan_xref_dictionary	GSD000141
G51699SI	Para-Forssman glycolipid		A novel pentaglycosyl ceramide containing di-beta-N-acetylgalactos-aminyl residue (Para-Forssman glycolipid) isolated from human erythrocyte membrane. [PMID:6814203]	6814203	GalNAcβ1→3GalNAcβ1→3Galα1→4Galβ1→4Glcβ1→1Cer [https://doi.org/10.1016/S0040-4039(01)93814-6]	GlycoMotif:GGM.000085|GTC:G51699SI|CID:56836111|KEGG:G00096|SugarBind_Ligand:19|CHEBI:151565		Actinomycosis[SugarBind_Ligand:19]	https://en.wikipedia.org/wiki/P1PK_blood_group_system		glycan_xref_dictionary	GSD000142
G58896AZ	Paragloboside		"Galactosyltransferase activities in sera of cancer patients were determined by assaying the formation of paragloboside from UDP-galactose and lactotriaosylceramide immobilized on microtiter plates by means of the enzyme-linked immunosorbent assay using a monoclonal antibody, H-11, directed to paragloboside. [PMID: 1551117]"	3345524|850070|10569746|30624951|29438961|6816790|1551117|6865961|25039255	α-Neup5Ac-(2→3)-β-D-Galp-(1→3)-D-GalpNAc in which the configuration at the GalNAc anomeric carbon is α.[CHEBI:65257]	GlycoMotif:GGM.000077|GTC:G58896AZ|CID:21670519|CHEBI:65257|GlycoEpitope:EP0075|SugarBind_Ligand:15		Pharyngitis[SugarBind_Ligand:15]|Tracheobronchitis[SugarBind_Ligand:15]|Gonorrhea[SugarBind_Ligand:15]|Actinomycosis[SugarBind_Ligand:15]|Diarrhea[SugarBind_Ligand:15]|Hemorrhagic colitis[SugarBind_Ligand:15]|Chronic gastritis[SugarBind_Ligand:15]|Peptic ulcers[SugarBind_Ligand:15]|Gastric cancer[SugarBind_Ligand:15]|Influenza[SugarBind_Ligand:15]		Chapter 14	glycan_xref_dictionary	GSD000143
G41052GC	Sd(A)/Cad	Sd^a /Cad	The expanding roles of the Sd(a)/Cad carbohydrate antigen and its cognate glycosyltransferase B4GALNT2.[PMID:24112972]	24112972|11577689|30067891|15361072	"A branched amino tetrasaccharide comprised of a trisaccharide chain of N-acetyl-α-neuraminic acid, β-D-galactose and N-acetyl-β-D-glucosamine residues linked sequentially (2→3) and (1→4), to the galactose residue of which is also linked (1→4) an N-acetyl-β-L-galactosamine residue. [CHEBI:71561]"	GlycoMotif:GGM.000051|GTC:G41052GC|CID:70698375|CHEBI:71561				Chapter 9	glycan_xref_dictionary	GSD000145
G19619KS	SDlex	Sdlex|SDLe^x|SDLex	"Hepatic expression of sialylated difucosyl Lex antigen (SDLex, NeuAc alpha 2-3Gal beta 1-4(Fuc alpha 1-3)GlcNAc beta 1-3Gal beta 1-4(Fuc alpha 1-3)GlcNAc beta 1-) was studied with monoclonal antibody FH6, which defines this structure.[PMID: 3341453]"	30226570|3341453|12725333	"(2S,4S,5R,6R)-5-Acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-5-acetamido-6-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-6-hydroxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-2-(hydroxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid is a member of neuraminic acids.[CHEBI:148203]"	GlycoMotif:GGM.000032|GTC:G19619KS|CID:91856705|CHEBI:148203				Chapter 14	glycan_xref_dictionary	GSD000146
G72548RZ	Seminolipid		"A concise total synthesis of seminolipid, a sulfoglycolipid, has been achieved; key features include regioselective, tin-free sulfation of allyl β-d-galactopyranoside using 2,6-bis(trifluoromethyl)phenylboronic acid as protective reagent, stereoselective epoxidation, and site-selective acylation. [PMID: 31353379]"	31353379|31736776|12810822|19582571|19542524|20670037|15659616|20817833|870059|10801776|21965315|8095813|1280685|4690236|34199863|4207869|2373957|845131		GlycoMotif:GGM.000062|GTC:G72548RZ				Chapter 14	glycan_xref_dictionary	GSD000147
G13224CR	Sialopentaosylceramide		Sialylpentaosylceramide detected with anti-GM2 monoclonal antibody. Structural characterization and complementary expression with GM2 in gastric cancer and normal gastric mucosap[PMID: 2139874]	2139874	A ganglioside in which the oligosaccharide portion is composed of a pentasaccharide containing one or more sialic acid residues.[CHEBI:36542]	GlycoMotif:GGM.000097|GTC:G13224CR|CID:91859576|CHEBI:148045|KEGG:G00883|CHEBI:36542					glycan_xref_dictionary	GSD000148
