source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
triantennary bisected complex type glycan		1			0
Thomsen-Friedenreich (TF) human tumor antigen	T antigen	1	G00031MO	gsd_strict	2
antennary fucosylated N-glycans		1			0
GlcNAcylated AACT		1			0
2534 m/z N-glycan		1			0
sialyl Lewis a (sLe(a))		1			0
sulfated and/or sialylated glycans		1			0
N-glycosylation pattern		1			0
297-11A-sulfated glycans		1			0
serum glycan profiles		1			0
Dol18/Dol19		1			0
galactose-6-sulfated oligosaccharides		1			0
disialyl core 1 O-glycans		1			0
Sialyl LewisA (CA19-9)		1			0
Tn/Sialyl-Tn on MUC1		1			0
tri-antennary and tetra-antennary glycans		1			0
asialo triantennary N glycan		1			0
sialyl Lewis X antigen (sLeX)		1			0
alpha2,3-sialylated human alpha(1)-acid glycoprotein (AGP)		1			0
glycosylated surface proteins		1			0
aberrantly glycosylated form		1			0
GlcNAc-branched N-glycans		1			0
N-acetylglucosaminylated glycans		1			0
α2, 6-sialylated glycans		1			0
glycosamine glycans		1			0
glycosylated hemoglobin (HbA1c)		1			0
sLe(a)		1			0
N-Linked oligosaccharides	N-linked glycans	1	G78059CC	gsd_strict	2
underglycosylated IgA1		1			0
defective glycosylation		1			0
glyco-chains		1			0
beta-N-acetylglucosamine		1			0
glycated serum protein (GSP)		1			0
glycosylation at position 415		1			0
gp130		1			0
galactose-N-acetylgalactosamine		1			0
β-(1→3)-glucan		1			0
epitope		1			0
3-O-glucosylation		1			0
1,5-anhydroglucitol		1			0
carbohydrates	Glycans	1		gsd_strict	2
branch alpha(1,3)-fucosylated triantennary glycan		1			0
bisecting core alpha(1,6)-fucosylated biantennary glycan		1			0
Gal/GalNAc		1			0
mannosylated N-glycans		1			0
Manα1-3Man		1			0
Manα1-6Man		1			0
CD24-associated carbohydrate epitopes		1			0
galactosylated streptavidin		1			0
2-keto-Gal		1			0
transferrin glycoforms		1			0
KL-6/MUC1		1			0
glycosylated CD133 protein		1			0
MUC1-Tn		1			0
Thomsen-Friedenreich antigen (T antigen) disaccharide, beta-D-galactose-(1-->3)-alpha-N-acetyl-D-galactosamine (beta-D-Gal-(1-->3)-alpha-D-GalNAc)		1			0
Gal beta 1----4GlcNAc		1			0
Gal beta 1----3GlcNAc		1			0
2,3-sialylated glycans		1			0
LewisX (LeX)		1			0
N-linked glycan at position 386		1			0
sialyl Lewis x (sLe<sup>x</sup>)		1			0
A2		1			0
disialylated O-glycans		1			0
monosialylated O-glycan		1			0
6'-sulfo-sialyl Lewis x	6'-Sulfo Sialyl Lewis x	1	G00672PE	gsd_strict	2
high-mannose-type N-glycans	High mannose	1	G55220VL	gsd_strict	2
single-GlcNAc-type N-glycans		1			0
sialyl LewisX (sLeX)		1			0
lacto-N-neotetraose		1			0
high-mannose-type saccharides		1			0
blood-type antigens H, A, B, Le(a), Le(b), Le(x), Le(y), sialyl-Le(a)		1			0
terminal mannose, terminal N-acetylglucosamine, 6-sulfogalactose residues		1			0
N-glycan with Galβ1-4Galβ1- motif		1			0
α2,6-sialylated glycans		1			0
outer arm fucosylation		1			0
sialyl-Le(x)-containing glycan NeuAc(alpha2-3)Gal(beta1-4)[Fuc(alpha1-3)]GlcNAc-R		1			0
CD75s gangliosides		1			0
high molecular weight hyaluronan (HMW-HA)		1			0
anti-laminaribioside carbohydrate IgG antibodies (ALCA)		1			0
anti-chitobioside carbohydrate IgA antibodies (ACCA)		1			0
anti-mannobioside carbohydrate IgG antibodies (AMCA)		1			0
complex biantennary glycan		1			0
N332 oligomannose glycan		1			0
N-glycolyl-neuraminic acid (Neu5Gc)		1			0
biantennary N-glycans		1			0
glucuronoxylomannan		1			0
fucosylated biantennary disialylated oligosaccharide		1			0
glycoprotein 130 (gp130)		1			0
Galbeta1,3GalNAc alpha2,3-sialyltransferase		1			0
large free hCG alpha		1			0
Gc protein		1			0
sialic acid links alpha(2,3)Gal/GalNAc and alpha(2,6)Gal/GalNAc		1			0
galactosylceramide (Gal beta 1-1'Cer;GalCer)		1			0
sialylated Tn antigen		1			0
sialylated glycopeptides		1			0
High-mannose glycosylation		1			0
Glycodelin A		1			0
C-CAM		1			0
Leb carbohydrate antigen		1			0
glycoGag		1			0
glycoMA		1			0
epitopes		1			0
hexosyl-1-phosphoisoprenoids		1			0
mannosyl-beta1-phosphodolichols		1			0
mannose-rich sugar chain		1			0
complex carbohydrate structure		1			0
N-acethylhexosamine		1			0
bisected oligosaccharides		1			0
non-fucosylated and hybrid oligosaccharides		1			0
bisected non-fucosylated hybrid glycans		1			0
complex type oligosaccharides		1			0
Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAc		1			0
Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAcβ1-6(Galβ1-3)GalNAc		1			0
Glycan epitope-Tn/STn		1			0
GD1b	GD1b	1	G37184KW	gsd_strict	2
fibrinogen-derived glycan peak		1			0
sialosyl-Le(a)		1			0
Sda		1			0
high mannose-type N-glycans		1			0
α2,6-NeuAc glycans		1			0
α2,3-NeuAc moiety		1			0
O-linked and N-linked sugars		1			0
N-linked carbohydrate residues		1			0
N-glycosylated MUC1-C		1			0
hyperglycosylated human chorionic gonadotropin (hCG-h)		1			0
advanced glycation endproduct (AGE)		1			0
ABH carbohydrate structures		1			0
sialylated N-acetyllactosamine		1			0
H and A antigens		1			0
binary N-acetyllactosamine		1			0
hyperglycosylated human chorionic gonadotrophin (hCG-h)		1			0
tri-antennary N-glycans containing a Lewis X-type fucose		1			0
di-fucosylated tetra-antennary N-glycans		1			0
bisected, afucosylated carbohydrates		1			0
Thomsen-Friedenreich antigen (Gal beta1-3GalNac alpha-)	T antigen	1	G00031MO	gsd_strict	2
apoC3 glycosylation index		1			0
alpha2-6-linked sialic acids		1			0
sialylated CD43 epitope		1			0
CD48		1			0
sialyl 6'-sulfo N-acetyllactosamine		1			0
glycan proteins		1			0
monofucosylated triantennary glycan A3G3F1S3		1			0
sialylated forms of Tn-antigen		1			0
sialylated forms of TF-antigen		1			0
T and Tn		1			0
sulfo sLex		1			0
sulfated sialyl Lewis-x (sLex)		1			0
sialylLex		1			0
sialylated epitopes		1			0
fucosylated tri-antennary glycan		1			0
high mannose oligosaccharides	High mannose	1	G55220VL	gsd_loose	2
core-2 sialyl Lewis X		1			0
H type 3	Blood group H (Type 3)	1	G94435QH	gsd_strict	2
alpha2-6-linked sialic acid		1			0
short O-linked glycans		1			0
core-fucosylated, sialylated, and branched glycans		1			0
Thomsen-Friedenreich (TF) antigen (CD176)		1			0
N-linked glycoproteins		1			0
O-linked Gal beta 1,3GalNAc glycans		1			0
6'-sulfo-sLex		1			0
bisected fucosylated N-glycan structures		1			0
N-glycan fucosylation		1			0
fuco-oligosaccharides		1			0
Tn antigen (CD175)		1			0
fucosylated glycoproteins		1			0
sialyl-Lewis x (sLe<sup>x</sup>)		1			0
glycan at position 386		1			0
fucosylated triantennary N-glycan		1			0
Tn determinant (GalNAc alpha-O-Ser/Thr)		1			0
CD45RB		1			0
N-glycosylated protein		1			0
N-acetylneuraminate		1			0
α2-6-linked sialyl glycans		1			0
immunogamma globulin glycans		1			0
SSEA4		1			0
terminal Gal/GalNAc		1			0
Lewis a (Le(a)) antigens		1			0
Core 1	Core 1	1	G00031MO	gsd_strict	2
Core 3	Core 3	1	G00035MO	gsd_strict	2
Tf glycan isoform		1			0
terminal α2,6-linked sialic acid		1			0
fully-sialylated alpha-chain of complement 4-binding protein		1			0
short-chain O-glycans		1			0
b1,6 branched N-oligosaccharides		1			0
mono-glucosylates		1			0
Tn-glycopeptides		1			0
3-fucosyl-N-acetyllactosamine (CD15)		1			0
sulfoglucuronylcarbohydrate (SGC)		1			0
GalalphaGal		1			0
N-Glycosylated recombinant ricin B chain		1			0
Non-glycosylated ricin B chain		1			0
B152/B109 ratio		1			0
Agalactosyl biantennary glycans (FA2)		1			0
glycans containing the sialyl Lewis x epitope (A3F1G1 and A2F1G1)		1			0
S-linked STn		1			0
laminin α1		1			0
glycosylation motifs		1			0
cancer-associated carbohydrate antigens		1			0
glycosylated LT		1			0
CD30		1			0
tetrasaccharide composed of GalNAc, Gal, and two N-glycolylneuraminic acid residues		1			0
PI(4,5)P2		1			0
carboxyl amino acids		1			0
IgA1 O-glycosylation		1			0
H type-3 trisaccharide		1			0
sialyl-Tn antigen (STn)	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
Tn antigen (α-GalNAc-O-Ser/Thr)		1			0
alpha(2,3)-sialylation		1			0
beta1,6-branched oligosaccharides		1			0
isoglobotrihexosylceramide		1			0
core of the HIV type 1 envelope glycoprotein 120		1			0
cysteinylated albumin		1			0
fucosylated N-glycopeptides		1			0
glycosylated forms of proBNP 1-108		1			0
pGCD59		1			0
galactose-deficient IgA1		1			0
lenograstim		1			0
filgrastim		1			0
M1 epitopes		1			0
fucosylated neutral GSLs		1			0
G(M3) Ganglioside		1			0
heavily glycosylated protein		1			0
azido sialic acids		1			0
α2,6-sialic acids	Alpha2,6-linked sialic acids	1		gsd_strict	2
G2FS(6)1		1			0
G2FS(3,6)2		1			0
G2FS(6,6)2		1			0
sialyl Tn		1			0
fucosylated sugar antigens		1			0
Glycosaminoglycan		1			0
alpha1,2-fucosylation		1			0
beta-N-acetylgalactosaminylation		1			0
core 3 (GlcNAcbeta1-3GalNAc)		1			0
Sd(a)/Cad-antigen-like structures		1			0
sulphated Lewis x		1			0
bifucosylation		1			0
Terminal Sialylation		1			0
Bisecting N-Glycans		1			0
alpha(2,8)-disialylated ganglioside GT1b		1			0
tetrasaccharide: Neu5Ac-α2,6-Gal-β1,4-GlcNAc-β1,4-GlcNAc		1			0
ALG1-CDG		1			0
GlcNAc and Man-bearing neoglycoproteins		1			0
asialoglycoprotein		1			0
NeuAcα(2-3)Galβ(1-3)GalNAc		1			0
Tn (GalNAcαThr/Ser)		1			0
T (Galβ1-3GalNAcαThr/Ser)		1			0
STn antigens		1			0
ABH group carbohydrate epitopes		1			0
alpha2,6-linked sialic acids	Alpha2,6-linked sialic acids	1		gsd_strict	2
N-glycan markers		1			0
P5(NA2), P8(NA3), P10(NA4)		1			0
P1[NGA2F], P2[NGA2FB], P3[NG1A2F], P4[NG1A2F], P7[NA2FB], P8[NA3], P9[NA3Fb]		1			0
HER2 N-glycans		1			0
Tn antigen (GalNAcalpha1-Ser/Thr)		1			0
sialylated sulfated glycans		1			0
core 3-derived glycans		1			0
N-acetyl-D-hexosamines		1			0
NeuAc alpha 2-->3Gal beta 1-->3(4)GlcNAc		1			0
NeuAc alpha 2-->3Gal beta 1-->3GalNAc		1			0
NeuAc alpha 2-->6Gal beta 1-->4GlcNAc		1			0
Lewis x residues		1			0
N-acetylneuraminic acid (NeuAc)		1			0
Galactose 6-O-sulfate		1			0
MUC5AC-WGA		1			0
N-linked sugar chains		1			0
R5a		1			0
R5b		1			0
P5		1			0
log(R5a/P1)		1			0
log(R5b/P1)		1			0
Core 1 O-glycans		1			0
monosialylated Core 1 O-glycans		1			0
disialylated Core 1 O-glycan		1			0
polylactosamine-type N-glycans		1			0
T-nouvelle (Tn, CD175)		1			0
sialylated Tn (CD175s)		1			0
Thomsen-Friedenreich antigen (TF, CD176)		1			0
fucose- and sialic acid-containing N-glycans		1			0
CCPs		1			0
biantennary and triantennary N-glycans		1			0
TRA-1-60		1			0
TRA-1-81		1			0
laminarin		1			0
chitin		1			0
alpha2,8-disialic acids		1			0
α2-6Sia		1			0
RM2		1			0
mucin O-glycan core structures		1			0
O-linked glycoproteins		1			0
traumatic brain injury indicative glycan biomarkers		1			0
sialic acid residues in N- and O-glycans		1			0
N-glycan signatures		1			0
unique glycans		1			0
α-2,3-Sia		1			0
α-1,2-Fuc		1			0
α-1,6-Fuc		1			0
α-2,6-Sia		1			0
α-GalNAc		1			0
Gal-β-1,3-GalNAc		1			0
α2-3-linked N-acetylneuraminic acid		1			0
agalactosylated (GnGnF, GnGn(bi)F)		1			0
galactosylated (AGn(bi), AGn(bi)F, AA(bi), AAF)		1			0
monosialylated IgG glycoforms (NaAF, NaA(bi))		1			0
fully sialylated glycans		1			0
GlcNAc 6-O-sulfate		1			0
α2,3 and α2,6 sialyl lactosamines		1			0
6-O sulfated sLeX		1			0
di-N-acetylchitobiose		1			0
beta-D-glucan		1			0
glycan antigens		1			0
9-OAcSA		1			0
sialic acid-containing glycoproteins		1			0
triantennary 'complex-type' with terminal fucose		1			0
biantennary 'complex-type' without fucose		1			0
biantennary 'complex-type' with fucose		1			0
'high-mannose' chains		1			0
N-acetyl-galactosamine (GalNAc)		1			0
VRE-bearing glycoproteins		1			0
LacdiNAc-glycosylated prostate-specific antigen		1			0
high molecular weight glycans		1			0
MUC21		1			0
defucosylated version of humanized monoclonal antibody against HM1.24		1			0
core 3 sialyl-Le(x) hexasaccharide		1			0
T(alpha) (Galbeta1-3GalNAcalpha1-)		1			0
Tn (GalNAcalpha1-Ser/Thr)		1			0
glycated apoB		1			0
LDL-		1			0
Glycosylation at threonines 48 and 71 of human proBNP		1			0
glycated apolipoprotein B		1			0
EEQFN <sup>177</sup>STYR (H3N4)		1			0
EEQYN <sup>227</sup>STFR (H3N4F1)		1			0
A/B epitopes		1			0
Sialic acid-binding Ig-like lectin 8 (Siglec-8)		1			0
mannose-containing O-specific polysaccharides		1			0
blood group B trisaccharide		1			0
β-glucan fragment		1			0
(Man)(5)(GlcNAc)(2)		1			0
(Man)(6)(GlcNAc)(2)		1			0
(Hex)(4)(GlcNAc)(5)		1			0
tri-arabinans		1			0
Mac-2 binding protein glycan isomer		1			0
monosulfated tetra-glycosyl ceramide, SM1a, Galβ1-3GalNAcβ1-4(3-O-sulfate)Galβ1-4GlcCer		1			0
Fucalpha1-2Galbeta motif		1			0
Fucalpha1-3GlcNAc motif		1			0
MUC1 O-glycopeptide		1			0
cell surface glycan		1			0
glycans 1a		1			0
glycans 2a		1			0
heparin hexasaccharides		1			0
SLe(a)		1			0
α2,3-sialylated N-glycans		1			0
Wisteria floribunda agglutinin		1			0
glucuronylated T antigen		1			0
Le(x) glycan		1			0
heparins/heparan sulfates		1			0
sialyl N-acetyllactosamine		1			0
nonsialyl N-acetyllactosamine		1			0
glycosylated total serum proteins		1			0
N-glycolylated GM3		1			0
Tn and T glycoforms		1			0
agalactosylated oligosaccharides		1			0
hCG derivatives		1			0
SIRPalpha1		1			0
fucosylated kininogen		1			0
fucosylated alpha-1-antitrypsin		1			0
N-linked glycosylated		1			0
sialosyl globopentaosylceramide		1			0
Myelin-Oligodendrocyte Glycoprotein		1			0
ED-B domain		1			0
glycosylated molecules		1			0
outer arm fucose residues		1			0
glyco-parameters		1			0
AOL/DSA		1			0
MAL/DSA		1			0
GlcNAcβ		1			0
GA2		1			0
H type-1 glycan		1			0
GSTA		1			0
Galα1-3Galβ1-(3)4GlcNAc-R		1			0
single-N-linked glycan chain		1			0
anti-laminaribioside carbohydrate (ALCA)		1			0
anti-chitobioside carbohydrate (ACCA)		1			0
anti-mannobioside carbohydrate (AMCA)		1			0
glycan content		1			0
sialylated and sulphated glycans		1			0
fucose-containing branched trisaccharide		1			0
disaccharide		1			0
disialylated O-glycan tetrasaccharides		1			0
asparagine-linked glycan		1			0
elongated complex oligosaccharide		1			0
truncated O-glycans (Tn, T antigens and their sialylated forms)		1			0
fucosylated, non-galactosylated, non-sialylated, bisecting IgG N-glycans		1			0
plasma MPA and HPA binding glycans		1			0
multiply-galactosylated glycans and sialylated glycans, GNA-binding glycans, NPA-binding glycans, WGA-binding glycans, and bisecting GlcNAc glycans		1			0
N-linked complex glycans		1			0
sulfated sialoglycan		1			0
non-fucosylated triantennary sugar chain		1			0
glucomannan		1			0
Glc(alpha1,4)Glc(alpha) (GAGA4)		1			0
maltohexaose		1			0
fuco-fractions		1			0
tri-antennary glycan		1			0
core-fucosylated biantennary glycan		1			0
GlcNH2		1			0
GlcNH2/Man ratio		1			0
glycans terminated with galactose residues		1			0
LCA-binding oligosaccharides		1			0
blood group i epitope (linear poly-N-acetyllactosamine chain)		1			0
alpha(2,8)-linked disialic acid		1			0
α2-3 and α2-6 sialosides		1			0
alpha1,6-Fucose		1			0
GD3(d18:1/18:0)		1			0
GD2(d18:1/18:0)		1			0
tri and tetra-antennary glycan classes		1			0
O-GalNAc glycans		1			0
Tn (GalNAcα-Ser/Thr)		1			0
STn (Neu5Acα2-6GalNacα-Ser/Thr)		1			0
Le(c)Le(x)		1			0
di-Le(a)		1			0
Le(a)Le(x)		1			0
Le(a)-containing glycans		1			0
N-acetyllactosamine-type glycans		1			0
3-fucosyl N-acetyllactosamine		1			0
O-glycan processing		1			0
fucosylated LacdiNAc	Fucosylated LDN	1	G02240AO	gsd_strict	2
glycan antigen 125 (CA125)		1			0
H4N3F1L1		1			0
H4N6F1E1		1			0
core and outer-arm fucosylation		1			0
GlcNAc(beta1,3)GalNAc		1			0
sialyl Lewis X epitope		1			0
Putative N-linked glycosylation site (PNGS) mutations		1			0
serum glycopatterns		1			0
carbohydrate antigen recognized by mAb FH6		1			0
core 2-based O-glycan		1			0
complex-type N-glycan		1			0
N-acetyl-neuraminic acid		1			0
N-glycolyl-neuraminic acid		1			0
core mannose oligosaccharide side chains		1			0
N-acetyl glucosamine-residues		1			0
SSEA3		1			0
type 1 core O-glycan		1			0
N-acetyllactosamine-type structures		1			0
oligomannoside-type structures		1			0
O-glucosylated (Xyl1-3Xyl1-3Glc)		1			0
O-fucosylated (NeuAc2-3Gal1-4GlcNAc1-3Fuc)		1			0
glycan chains on MUC1		1			0
lactosamine structures		1			0
O-linked glycan(s)		1			0
multisialylated LacdiNAc (GalNAcβ1-4GlcNAc)		1			0
glycosylated LRG1		1			0
CD20 type II epitope		1			0
1,6 N-acetylglucosamine (GlcNAc)		1			0
RAAG12		1			0
agalactosyl IgG		1			0
Thomsen-Friedenreich glycotope		1			0
S or Re endotoxin glycoforms		1			0
glycosidic conjugates of cyanidin		1			0
O-linked oligosaccharide chain		1			0
carboxylated N:-glycans		1			0
O-Linked oligosaccharides	O-linked glycans	1		gsd_strict	2
high-mannose, hybrid and complex N-linked glycans		1			0
tri- and tetra-antennary fucosylated oligosaccharides		1			0
N-acetylhexosamine (HexNAc)		1			0
N-acetylglucosaminyl-phosphatidylinositol		1			0
MAA-reactive SA		1			0
SNA relative reactivity with CLU glycans		1			0
fucosylated structures		1			0
2'FL		1			0
LNFP I		1			0
LDFT		1			0
LNDFH I		1			0
tandem-repeat-type galectin-8		1			0
asialo GA1		1			0
GD3 (d18:1/24:1)		1			0
GD3 (d18:1/24:2)		1			0
core 1 O-glycan (Galbeta1-3GalNAcalpha1-Ser/Thr, T antigen)		1			0
sialyl-T antigen (NeuAcalpha2-3Galbeta1-3GalNAcalpha1-Ser/Thr)		1			0
6-sulfated glycan		1			0
core 3 structure of O-glycans		1			0
N-glycosylated asparagine		1			0
complex glycosylation		1			0
fucose-rich glycovariants		1			0
CML		1			0
CD83		1			0
N-linked glycosylation motifs		1			0
alpha-mannosyl ceramide		1			0
glycosylation sites (N331 and N343)		1			0
CD4 binding site (CD4bs)		1			0
sialyl Lewis X (3'SLeX)		1			0
glycosylated angiotensin-(1-7) peptide Ang-1-6-O-Ser-Glc-NH2 (PNA5)		1			0
GP 3		1			0
GP 8		1			0
GP 11		1			0
GP 4		1			0
GP 14		1			0
oligo mannose-rich glycoproteins		1			0
sialic acid-bearing glycans		1			0
Lewis X (Le(x))-containing glycan		1			0
Lewis A (Le(a))-capped glycan		1			0
A2G1(6)FB		1			0
complex type N-glycan groups		1			0
natural complex glycan ligand		1			0
fucosylated lactosaminoglycans		1			0
keratan sulphate	Keratan sulfate	1	G82109MW	gsd_strict	2
core3MUC1 (GlcNAcβ1-3GalNAc-MUC1)		1			0
STnMUC1 (NeuAcα2,6GalNAc-MUC1)		1			0
sialylated meningococcal lipopolysaccharide		1			0
bi-sialylated N-glycans		1			0
tri-sialylated N-glycans		1			0
neutral N-glycans		1			0
mono-sialylated glycans		1			0
Man(5)GlcNAc(2)		1			0
CA 15-3		1			0
tetra-antennary N-glycans		1			0
tri-antennary N-glycans		1			0
Neu5Ac-α2, 6-Gal-β1, 4-GlcNAc-β1, 4-GlcNAc		1			0
O-Glycans	O-linked glycans	1		gsd_strict	2
N-acetyl galactosamine/galactose (GalNAc/Gal)-associated glycan		1			0
α2,3-sialylated prostate-specific antigen (S23PSA)		1			0
Siglec-9 sialoglycan ligands		1			0
Galβ1,3GalNAc		1			0
sialic acid-binding immunoglobulin-like lectin 8		1			0
fPSA glycosylation		1			0
galectin-7		1			0
sialyl-Tn (Neu5Acalpha2-6-GalNAc)		1			0
Lewis(x) trisaccharide		1			0
MUC1-glycopeptides		1			0
GM1-like		1			0
GT1a-like		1			0
GD3-like		1			0
GD1a-like		1			0
Gal: Man: GlcN: GaIN		1			0
tetrasaccharide O-glycans		1			0
hexasaccharide O-glycans		1			0
N-linked glycan epitopes		1			0
N- and O-glycosylated sugar chains		1			0
H-type3		1			0
cancerous glycans		1			0
glycan-phosphatidylinositol		1			0
alginate		1			0
sialyl Lewis X (sLe<x>)		1			0
sialyl Lewis A (sLe<a>)		1			0
Mac-2-binding protein glycan isomer		1			0
glycan part of PSA		1			0
sialyl Lewis a (sLea)		1			0
N-glycan modification		1			0
m/z 1201		1			0
m/z 1449		1			0
glycosylated MUC1 tumor antigen		1			0
V3 region		1			0
gp41 amino terminus		1			0
underglycosylated forms of LGR5		1			0
glycosylated forms of alpha-dystroglycan		1			0
sialylated glycan isomers		1			0
specific glycan patterns		1			0
branched core 2 structures		1			0
linear core 1 or core 3 structures		1			0
MHC associated glycan		1			0
blood group		1			0
N-glycosylated forms		1			0
glycosylated NIS		1			0
heavily glycosylated core and loop structures		1			0
glycosylated versions of the HIV proteins		1			0
nonglycosylated versions of the HIV proteins		1			0
C-glycosyltryptophan		1			0
3-carboxy-4-methyl-5-propyl-2-furanpropanoate		1			0
glycan ligand of the inhibitory receptor CD33 (CD33L)		1			0
Glc(alpha1,4)Glc(alpha)		1			0
6'-sulfo-sLe(x)	6'-Sulfo Sialyl Lewis x	1	G00672PE	gsd_strict	2
high mannose-type N-glycan biosynthesis		1			0
Sialyl Lewis a	Sialyl Lewis a	1	G00053MO	gsd_strict	2
Glc2NTs		1			0
O-linked sialyloligosaccharides		1			0
Ca 19-9	Sialyl Lewis a	1	G00053MO	gsd_strict	2
Ca 50		1			0
T(N) antigen		1			0
Glycosylphosphatidylinositol	GPI anchors	1		gsd_strict	2
C2-O-sLe(x)		1			0
Desialotransferrin		1			0
glycan chains		1			0
α2-6 sialylation on N-glycans		1			0
ABO glycan		1			0
GalNAcalpha1-Ser/Thr (Tn)		1			0
α-N-acetylgalactosamine (GalNAc)		1			0
α-N-acetylglucosamine (GlcNAc)		1			0
dp5		1			0
F1 alpha (Gal beta 1-->4GlcNAc beta 1-->6GalNAc alpha 1-->Ser/Thr)		1			0
Fucα1-2Galβ1-3GalNAc-R		1			0
βGal-βGalNAc residues		1			0
HPA and PNA binding glycostructures		1			0
Tn and sialyl-Tn (sTn) O-glycans		1			0
altered glycosylation of MUC1		1			0
prothrombin A2G2S		1			0
immunoglobulin J chain FA2G2S2		1			0
clusterin A2G2		1			0
complement component C8A A2G2S2		1			0
apolipoprotein M glycopeptide with non-fucosylated and non-sialylated hybrid-type glycan		1			0
d-GM3		1			0
d-GD3		1			0
O126 glycoforms		1			0
BGP I		1			0
3-sulfoglucuronyl beta1-3 galactoside		1			0
human natural killer cell antigen-1 (m-HNK)		1			0
N260 glycan		1			0
sialyl Lewis x in core 2 branched O-glycans		1			0
sialyl Lewis x in extended core 1 O-glycans		1			0
Fc gamma RIIIb		1			0
Fc gamma RIIa		1			0
monosialylated, core 2-based O-glycan with a sialyl Lewis x (C2-O-sLe(x)) motif		1			0
high mannose tri and tetra antennary N-glycans		1			0
Tn-antigen (GalNAcα-Ser/Thr)		1			0
sialylated core 1 (sialyl-T, ST) oligosaccharides		1			0
O-secretor mucin glycan phenotype		1			0
N-linked glycosylation site (N66)		1			0
D1 domain glycan		1			0
difucosylated oligosaccharide Lewis Y (Le(Y))		1			0
Peak9		1			0
Peak9p		1			0
Peak12		1			0
Peak11		1			0
sialylated PFPL O-glycans		1			0
galectin-3-reactive glycoligands		1			0
non-glycosylated NT-proBNP		1			0
complex-type N-linked glycans having multivalent GlcNAc termini		1			0
penta-antennary complex-type with bisecting GlcNAc		1			0
bi-antennary complex-type		1			0
multi-antennary complex-type N-linked OS		1			0
xylose-binding proteins		1			0
sialylated Lewis(x) sequence		1			0
Gal3Sulfo-T(2)		1			0
Gal3Sulfo-T(4)		1			0
GlcNAc6Sulfo-T		1			0
alpha1,2-fucosyltransferase		1			0
sialylated antigens		1			0
Galβ1-3GalNAc		1			0
(β-GlcNAc)n		1			0
bi- and triantennary N-glycan containing Galβ1-4GlcNAcβ1-2Manα1-6		1			0
terminal Galβ1-4GlcNAc		1			0
glycolipids		1			0
(2,3)-sialyl-T antigen		1			0
NeuAc alpha 2-6Gal		1			0
core N-glycans		1			0
alpha-linked mannose		1			0
mannose-rich polypeptide		1			0
complex carbohydrate group		1			0
glycosylation motif (NTT (221-223))		1			0
O-glycan core 1 structure		1			0
glycan phosphoinositol (GPI) anchor		1			0
NeuGc alpha 2-6Gal beta 1-4GlcNAc		1			0
Wisteria floribunda agglutinin-positive Mac-2 binding protein		1			0
TF antigen	T antigen	1	G00031MO	gsd_strict	2
9-N-(2-naphthyl-sulfonyl)-Neu5Acα2-3-[6-O-sulfo]-Galβ1-4GlcNAc		1			0
N276		1			0
N460/N463		1			0
Lewis(x) (Le(x))		1			0
glycan structures of fetuin		1			0
fucose-containing glycans		1			0
CD4-binding site		1			0
globotriaosylceramide (Gb3)		1			0
α(2,6)-linked sialylation		1			0
Hexuronic Acids		1			0
phosphatidyl-inositol-glycan		1			0
altered carbohydrate moieties		1			0
MUC-1 polypeptide		1			0
Glycosyl-phosphatidylinositol (GPI) anchor		1			0
high mannose glycan	High mannose	1	G55220VL	gsd_strict	2
STn antigen		1			0
alpha-dystroglycan		1			0
asialylated LDL		1			0
glycosylated on asparagine residues		1			0
1-aminoglucosesuccinate		1			0
bisecting N-acetylglucosamine (GlcNAc) residues		1			0
core-glycosylated		1			0
(Galbeta)Ser		1			0
(Glcalpha,beta)Tyr		1			0
branched oligosaccharides		1			0
galactose-specific lectins		1			0
Neu5Acα2-3[6S]Galβ1-4GlcNAc		1			0
N- or O-glycans		1			0
Thomsen-Friedenreich (T, Gal beta 1-->3-GalNAc alpha 1-->Ser/Thr)		1			0
mucin O-glycan		1			0
Concanavalin A-non-reactive fraction		1			0
STF		1			0
alpha(1-2)fucosylated glycans		1			0
stage-specific embryonic antigen-4 (SSEA-4)		1			0
blood group A trisaccharide		1			0
Sig8L		1			0
fucosylated core 1 O-glycan		1			0
fucosylated forms		1			0
asialo-AGP		1			0
defined cell surface glycans		1			0
core 1 O-glycan structure, Gal-GalNAc-O-Ser/Thr		1			0
mucin type-O-glycans		1			0
P63		1			0
neutral and acidic carbohydrates		1			0
aspartylglycosamine		1			0
T/Tn antigen		1			0
CA199		1			0
CD33		1			0
glycan vibrations		1			0
Gal(beta1-O)Thr		1			0
Gal(beta1-S)Cys		1			0
Gal(beta1-N)Asn		1			0
Lac(beta1-O)Thr		1			0
Sialyl-Lewis(x)	Sialyl Lewis x	1	G00054MO	gsd_strict	2
sialo-N- and O-glycans		1			0
STn glycoform		1			0
sialylated MUC4β N-glycans		1			0
multifucosylated sequence		1			0
multi-antennary sialylated N-glycolylneuraminic acid (Neu5Gc)		1			0
phosphatidylinositol glycan (PIG)		1			0
blood group H type 2 (BG-H)		1			0
Lewis-x (Le(x))		1			0
β-glycan		1			0
Neu5Acalpha2-3Galbeta1-4Glc		1			0
